name	input	uniquely_mapped	multiple_loci	too_many_loci	percent_unmapped_too_many_mismatches	percent_unmapped_too_short
sFH14_1	29498062	25301057	1105573	31043	0.00%	9.98%
sFH14_2	28151933	17902323	1282014	19533	0.00%	31.30%
sFH14_3	26252710	12856794	1254282	17713	0.00%	45.68%
sFH14_4	27937370	15697967	1191121	17020	0.00%	38.97%
sFH14_5	21550956	10610304	1931211	21308	0.00%	41.18%
sFH14_6	24349254	13460813	1758126	20083	0.00%	36.85%
sFH14_7	22143433	12146425	2567577	26578	0.00%	32.48%
sFH14_8	25911540	14843521	1803570	27861	0.00%	35.09%
