Well,Content,Sample,id,Transfected,Time,color,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,num_live_cells,cells_per_mL,percent_live,live_cells_per_mL,time_actual,legend_label,SQ_Mean_censored
A01,Unkn-01,Well 1,GagMCP_mCh-MSx8_0h,GagMCP_mCh-MS2x8,0,#756bb1,29.32602197,29.26401444,0.167170657,12784.747,4.106692138,13407.40256,1593.94959,924000,4.77E+06,97,4.62E+06,0,Gag-MCP,18915.43256
A02,Unkn-02,Well 2,GagMCP_mCh-MSx8_18h,GagMCP_mCh-MS2x8,18,#756bb1,21.05268645,21.05116702,0.122507049,3964571.219,6.598196224,3978307.872,337914.4092,1100000,5.67E+06,97,5.50E+06,18.16,Gag-MCP,3978307.872
A03,Unkn-03,Well 3,GagMCP_mCh-MSx8_24h,GagMCP_mCh-MS2x8,24,#756bb1,20.65493871,20.53890686,0.131135995,5223690.403,6.717977429,5677104.563,522393.3302,1340000,6.92E+06,97,6.70E+06,24,Gag-MCP,5677104.563
A05,Unkn-05,Well 5,mCh-MSx8_0h,mCh-MS2x8,0,#969696,33.90060883,34.94133226,1.210660304,535.8723358,2.729061337,319.1550294,216.1195169,1032000,5.27E+06,98,5.16E+06,0,No Exporter,18915.43256
A06,Unkn-06,Well 6,mCh-MSx8_18h,mCh-MS2x8,18,#969696,28.48039198,30.71177032,2.188982184,22980.13068,4.361352494,9563.05569,11750.36292,1300000,6.71E+06,97,6.50E+06,18.16,No Exporter,18915.43256
A07,Unkn-07,Well 7,mCh-MSx8_24h,mCh-MS2x8,24,#969696,31.63412822,32.85345684,1.554264681,2579.936311,3.411608985,1503.192842,1128.557916,1660000,8.59E+06,97,8.30E+06,24,No Exporter,18915.43256
A09,Unkn-09,Well 9,Blank,,0,#525252,27.23676162,31.03142107,3.347780771,54433.98634,4.73587014,18915.43256,30763.73137,0,,,,0,Blank,18915.43256
