,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,mCherry,Unkn-01,16-39,,18.1167953958994,18.0386626458153,0.0713378516611264,188587.520242326,5.2755129499643,199194.438226298,9723.42902331825,67,
,A02,SYBR,mCherry,Unkn-02,16-40,,27.2515460260205,27.0452750039303,0.215654357079581,345.09822230554,2.53794272212868,400.847210018321,60.0211960509903,67,
,A03,SYBR,mCherry,Unkn-03,16-41,,19.0272604230788,19.0980894849405,0.0673856436757415,100613.903176727,5.00265799717849,95883.7865027052,4474.45848813103,67,
,A04,SYBR,mCherry,Unkn-04,16-42,,28.9229671223352,29.1722916326999,0.217983703786611,108.902732450985,2.03703877666576,92.4006569305625,14.3963671138427,67,
,A05,SYBR,mCherry,Unkn-05,16-43,,20.0663914063548,19.9397706950861,0.119175060568497,49118.3162076459,4.69124347062778,53723.3518681295,4376.99061229693,67,
,A06,SYBR,mCherry,Unkn-06,16-44,,28.9442330197373,28.9220572595152,0.0582006173313823,107.316290856083,2.03066565385665,109.030109004773,4.42066849815709,67,
,A07,SYBR,mCherry,Unkn-07,16-45,,20.1110632177889,20.1823639968696,0.110806185048845,47627.2919811453,4.67785588885822,45427.8008900187,3395.25232595337,67,
,A08,SYBR,mCherry,Unkn-08,16-46,,29.4966376202035,29.1299454549808,0.343808006677756,73.3021851830082,1.86511692141844,96.1568958847594,22.0655548400255,67,
,A09,SYBR,mCherry,Unkn-09,16-47,,20.783388936017,20.8498189958509,0.138844652839869,29948.0328653774,4.47636830105692,28692.2422888844,2672.307345871,67,
,A10,SYBR,mCherry,Unkn-10,16-48,,29.0746332604389,29.3169124493694,0.359929287480181,98.0813278358868,1.99158633674097,84.6176328937404,19.4021344900831,67,
,A11,SYBR,mCherry,Unkn-11,16-49,,20.1024314628485,20.0428803933432,0.128607983289474,47911.8254175478,4.68044271758463,50054.9705902677,4543.74260387456,67,
,B01,SYBR,mCherry,Unkn-01,16-39,,17.9770010477639,18.0386626458153,0.0713378516611264,207686.163225455,5.31740756329001,199194.438226298,9723.42902331825,67,
,B02,SYBR,mCherry,Unkn-02,16-40,,27.0629534027293,27.0452750039303,0.215654357079581,393.06245890035,2.59446156666165,400.847210018321,60.0211960509903,67,
,B03,SYBR,mCherry,Unkn-03,16-41,,19.1056067405484,19.0980894849405,0.0673856436757415,95318.8048167336,4.97917858817765,95883.7865027052,4474.45848813103,67,
,B04,SYBR,mCherry,Unkn-04,16-42,,29.2670396518884,29.1722916326999,0.217983703786611,85.8864305346738,1.93392455370986,92.4006569305625,14.3963671138427,67,
,B05,SYBR,mCherry,Unkn-05,16-43,,19.9231303691265,19.9397706950861,0.119175060568497,54222.1840981652,4.73417700720752,53723.3518681295,4376.99061229693,67,
