"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EGFP",56992.4222342899,19.148327696175,2.04862731157925,9.34690638357931,9.02487678794496e-21,2.77830831916886e-16
"IGHG1_ENSG00000211896",387.993511915151,2.90325254481654,0.436371859007306,6.6531617126299,2.86862700784022e-11,4.41553412181806e-07
"TSPAN6_ENSG00000000003",2843.73150308088,-0.0668959243007018,0.221987145860407,-0.301350440997012,0.763147281083444,1
"TNMD_ENSG00000000005",7.14874478962504,0.194260324226486,2.53977041164123,0.0764873562334925,0.939031372771387,1
"DPM1_ENSG00000000419",1457.65252668802,-0.142471782138041,0.264270397194625,-0.539113664074589,0.589808427817949,1
"SCYL3_ENSG00000000457",597.223042293102,0.123124014413189,0.351094818445656,0.350685934239291,0.725823979073813,1
"C1orf112_ENSG00000000460",1289.43719196373,-0.0710484693575578,0.268303141681317,-0.264806699289221,0.79115837579386,1
"FGR_ENSG00000000938",0.380808742778108,0,7.0668509597078,0,1,1
"CFH_ENSG00000000971",1.23341447175989,0,7.06685095918909,0,1,1
"FUCA2_ENSG00000001036",3149.07161923008,-0.105280731110196,0.223133369557682,-0.471828715350349,0.637049052737931,1
"GCLC_ENSG00000001084",944.79420050711,0.00841524726995873,0.298159717252866,0.0282239577750265,0.977483529292195,1
"NFYA_ENSG00000001167",1333.08542873526,-0.136479837007155,0.266718783896093,-0.511699382448909,0.608861418397911,1
"STPG1_ENSG00000001460",845.360093264683,0.0696123566322726,0.322732120769485,0.215697019764556,0.829223924424129,1
"NIPAL3_ENSG00000001461",1304.58799012294,-0.0614054340509098,0.268423755516339,-0.228763038997016,0.819053095630639,1
"LAS1L_ENSG00000001497",3239.84229137332,-0.0330169388739532,0.220520805810606,-0.149722556801782,0.880983511025906,1
"ENPP4_ENSG00000001561",630.073579355648,-0.172177932230315,0.343877408526702,-0.500695678055702,0.616585314431759,1
"SEMA3F_ENSG00000001617",359.027977757305,0.0205132541015251,0.463525988575117,0.044254809022862,0.964701293531503,1
"CFTR_ENSG00000001626",8.57943454644334,1.47435200337767,2.60876220778891,0.56515384919934,0.571969124212269,1
"ANKIB1_ENSG00000001629",724.201068283621,-0.0768221459900578,0.325741197457393,-0.235837979935302,0.813558395547071,1
"CYP51A1_ENSG00000001630",224.427523553778,0.259247153139014,0.548056053651402,0.473030361423416,0.636191518256664,1
"KRIT1_ENSG00000001631",577.897796422543,0.0806604387825362,0.354663366667129,0.227428165306513,0.820090821286017,1
"RAD52_ENSG00000002016",562.884833241947,0.169158744002408,0.360565044216004,0.469149039031832,0.638963108704368,1
"MYH16_ENSG00000002079",2.17698240702169,0.779310138893657,4.78917587822359,0.162723223934453,0.870736360646534,1
"BAD_ENSG00000002330",1091.10885603623,0.0879610949035759,0.285689669854835,0.307890358612794,0.758165762380157,1
"LAP3_ENSG00000002549",1922.25330510461,0.00761595275490042,0.253612420202346,0.0300298887129582,0.976043216168924,1
"CD99_ENSG00000002586",3707.58282489197,-0.115996962687052,0.210494188929394,-0.551069667419472,0.581585917753187,1
"WNT16_ENSG00000002745",3.62759046247826,1.19422199204636,3.67665645587357,0.324811960643904,0.745323391684397,1
"HECW1_ENSG00000002746",12.925951121296,-0.390696305769549,1.96110210840301,-0.199222826845924,0.842088444068568,1
"MAD1L1_ENSG00000002822",68.8241841575304,0.716928769055485,0.904737416854003,0.792416402483303,0.428117918484152,1
"LASP1_ENSG00000002834",1270.05229045616,0.0727931359705177,0.280324691779755,0.259674363711455,0.795114969227477,1
"SNX11_ENSG00000002919",819.340654314138,-0.0344597051651926,0.311580768863096,-0.1105963801647,0.911936418087507,1
"TMEM176A_ENSG00000002933",0.10521854398158,-2.24809980078433,6.91816694320699,-0.324955991845754,0.74521437904828,1
"M6PR_ENSG00000003056",1194.93121302158,0.0531842105921543,0.274829693523558,0.193516973767594,0.846554114153551,1
"KLHL13_ENSG00000003096",465.973792654089,-0.0340193172979463,0.392161995790006,-0.0867481236406265,0.930871723431451,1
"CYP26B1_ENSG00000003137",272.324674792626,0.194249818896204,0.502690289237586,0.386420472117765,0.699185290795903,1
"ICA1_ENSG00000003147",386.461191733901,-0.400908341129472,0.41712756506013,-0.961116873375844,0.336493406559852,1
"DBNDD1_ENSG00000003249",926.276471115601,0.221994446697507,0.316810660984645,0.70071646581447,0.483479978129321,1
"ALS2_ENSG00000003393",1201.96616987351,0.083177410691877,0.276228096680149,0.301118574437379,0.763324077620494,1
"CASP10_ENSG00000003400",155.123698185774,0.0141689759375806,0.620451700192343,0.0228365494577388,0.981780653368565,1
"CFLAR_ENSG00000003402",928.74444902463,0.209785234982926,0.298671211887305,0.702395231389366,0.482432718338522,1
"TFPI_ENSG00000003436",182.089470937674,-0.0544931828411372,0.607747168325218,-0.0896642315772614,0.928554040477957,1
"NDUFAF7_ENSG00000003509",520.028883062692,0.125754470423411,0.369009236606527,0.34078949237117,0.733262061345376,1
"RBM5_ENSG00000003756",4493.23851760481,0.107489062213121,0.208540156869722,0.515435798201069,0.606248522407616,1
"MTMR7_ENSG00000003987",128.402409039413,-0.283450837069675,0.678192652691782,-0.417950321261436,0.675983439605329,1
"SLC7A2_ENSG00000003989",651.687696397296,-0.23519526703925,0.346734545832709,-0.678315068013806,0.497571946857033,1
"ARF5_ENSG00000004059",3965.2938212555,-0.101675413574021,0.215235094280594,-0.472392357360975,0.636646758492437,1
"SARM1_ENSG00000004139",908.269365138314,0.0538976286322314,0.312615696579306,0.172408580957349,0.863116326564805,1
