	n_cells	frac_unique	sem_frac_unique	std_frac_unique
0	100	1.0	0.0	0.0
1	200	1.0	0.0	0.0
2	500	0.9998796790367885	5.572773932619829e-05	0.0005572773932619829
3	1000	0.9997997797396594	4.2691383625876645e-05	0.00042691383625876645
4	2000	0.9996546820830241	4.484431151985012e-05	0.00044844311519850116
5	5000	0.999249257888363	4.257030726951903e-05	0.0004257030726951903
6	10000	0.9985216492137619	4.0805416087990885e-05	0.0004080541608799089
7	20000	0.9971466978598287	3.758421040223166e-05	0.00037584210402231657
8	50000	0.9929132436925231	3.796169506492999e-05	0.0003796169506492999
9	100000	0.9860405343803363	4.196981823733156e-05	0.0004196981823733156
