	depth	count_unique	chao1
0	0.1	267676.0	3799706.582112686
1	0.2	516568.1	4117387.8137272196
2	0.3	749357.7	4402005.949878344
3	0.4	968130.1	4662638.7067634715
4	0.5	1174616.5	4915070.528106237
5	0.6	1370414.5	5159969.19965254
6	0.7	1556576.3	5390997.253986299
7	0.8	1734046.7	5612910.205547506
8	0.9	1903615.1	5824600.540174107
9	1.0	2066241.0	6027585.817246522
