"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","mCherry-A"
319543,305974,1069.43,433553,277176,25708.6
333985,256178,1335.02,306675,217171,11001.2
258370,192680,1373.16,282688,204019,7073.43
277030,264655,1071.91,276278,197828,2967.08
249605,211907,1206.18,264309,177564,4099.94
256948,270241,973.632,266617,179222,5172.11
240113,219527,1120.06,322762,183894,2867.97
211389,162682,1330.6,382638,288072,959.965
261945,216250,1240.39,184310,138294,2705.15
240213,229684,1070.96,308130,218360,4631.63
468863,268654,1787.15,360537,241630,3740.62
262207,241624,1111.23,385231,189670,9841.88
225362,185599,1243.43,197599,131157,7846.2
198720,250011,813.929,310832,206512,9464.55
226490,240509,964.33,355266,238723,6450.38
181840,224036,831.148,329171,230996,6244.72
211748,196117,1105.64,302630,202108,4328.04
246442,235717,1070.61,285682,202563,3488.94
235870,191614,1260.54,252152,169140,6901.96
264577,226404,1196.67,241549,153156,8330.23
259318,226214,1173.88,288224,190952,6878.81
213228,222922,979.474,164322,116602,584.237
312672,264113,1212.27,320081,221926,5696.56
302134,239718,1290.65,427556,272817,4443.08
291214,210771,1414.84,264750,181552,4158.18
205510,219903,957.006,213952,156652,3133.96
311899,242378,1317.72,239130,182086,2482.01
356406,270920,1347.11,245881,182054,1895.03
300380,223734,1374.84,316561,206515,1896.09
204919,155989,1345.25,260357,178370,2247.54
307401,311388,1010.9,361006,246750,2074.78
266570,231083,1181.27,256303,167310,6234.13
220490,196304,1150.21,387656,260684,1170.82
316108,243398,1329.93,239316,155764,5293.8
293064,262928,1141.4,409969,277283,7529.96
337027,246595,1399.54,319146,164578,3128.23
290584,235600,1263.02,206552,151454,6309.5
240733,259082,951.484,317469,228659,4911.02
169176,217752,795.598,247362,188515,1583.47
303531,190964,1627.65,276635,201947,325.64
316685,260869,1243.12,515658,295875,13975.4
286179,227710,1286.96,337779,228032,6381.41
401904,298656,1378.04,331737,222715,6087.33
255063,259137,1007.9,333306,208592,23065.6
253154,243511,1064.58,377829,255492,40137.8
306149,270362,1159.55,529228,326688,8816.7
259722,246131,1080.55,436528,302047,114.95
291063,300202,992.83,330844,231559,5622.85
175921,121514,1482.51,281659,207810,139.956
220104,227109,992.437,267955,186579,7391.37
257018,235972,1115.35,424238,282241,8727.73
318399,312697,1042.67,419070,290443,18932.5
378795,230869,1680.15,373994,249603,7108.39
275455,212604,1326.74,202528,136705,2190.45
411646,312160,1350.39,351132,248579,19329.8
267922,235292,1166.03,287635,192139,8438.69
302737,270775,1144.9,354430,255274,12016.1
168242,241418,713.618,220120,162986,3158.2
198807,209223,973.054,198656,137476,3955.21
271397,224479,1238.06,293975,204230,3174.41
312810,279150,1147.5,460858,299096,15475
181165,200183,926.747,205467,153860,4597.46
230607,215523,1095.68,221363,155775,1856.5
359490,247652,1486.46,478917,310196,15817.5
238834,191098,1279.8,174013,137962,2111.94
245611,208232,1207.86,203501,154074,1131.37
344037,232171,1517.4,237906,139504,2736.71
297403,239292,1272.69,443076,287374,5720.89
306869,207754,1512.54,182316,132056,10020.9
161050,136721,1206.22,205670,163452,565.954
228062,198961,1173.78,164317,110011,5036.54
320905,257538,1275.96,354220,235876,4644.99
281355,180358,1597.47,223188,146712,10095.4
230521,162175,1455.61,375663,243730,1809.57
381286,219407,1779.56,206528,128597,2962.71
370424,266674,1422.4,199958,115539,1734.51
291280,218736,1363.66,174856,119803,4377.75
322203,213727,1543.77,193624,130922,10004.6
204462,165666,1263.81,217319,154754,1602.18
314594,203153,1585.73,254106,153096,2565.04
301477,242860,1271.17,192631,144305,3115.96
164722,149846,1125.7,217386,160500,1109.92
271706,230654,1206.28,365553,250216,5274.25
318472,251034,1299.1,325296,224115,4257.81
333853,266159,1284.47,285848,191965,4834.21
213893,193654,1131.05,250230,169201,28670.3
462082,295383,1601.93,330230,204218,3753.31
248602,184935,1376.58,193648,145036,2062.62
271119,236922,1171.81,382624,234296,5646.62
416099,257339,1655.76,387414,268120,3124.82
226838,213382,1088.6,321317,234178,2422.7
371497,253099,1503.04,348534,248766,13026.5
215217,221404,995.403,297846,191524,4233.86
297304,246438,1235.39,438625,284567,5630.59
338836,247160,1403.86,511882,306938,39488.7
197872,188000,1077.77,276499,203214,1107.06
180145,211730,871.25,256365,179480,3374.83
311972,233942,1365.58,217751,152739,2669.13
202673,204419,1015.27,337200,239882,4493.2
305016,221402,1410.73,334181,214065,8466.49
224702,180270,1276.43,271410,192960,18583.8
229144,257487,911.306,307310,210997,6065.7
183286,163739,1146.26,187777,128128,1656.06
223393,209982,1089.43,360065,213004,6052.77
280582,254616,1128.46,337314,220214,12142
221722,251002,904.555,323517,228499,6138.42
190031,234254,830.704,265769,175865,5773.28
229722,226203,1039.94,244839,157092,4539
165912,205689,825.979,255996,174510,5189.28
