"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","mCherry-A"
167972,221525,776.469,254550,169722,197.534
401243,280900,1462.72,341658,202105,524.243
199384,196776,1037.61,280839,172322,434.668
335471,249386,1377.48,278132,172454,121.847
336835,276320,1248.3,272032,172012,192.129
171871,265698,662.394,205756,137290,109.004
442350,308028,1470.55,237471,133352,219.342
564257,343880,1680.27,398188,212045,573.673
303957,175091,1777.68,417836,241898,2107.33
303798,289715,1073.78,214999,127600,378.537
380856,259031,1505.64,219622,133680,202.125
238482,229266,1065.17,187939,109579,229.395
454834,327100,1423.89,342055,197344,276.355
209288,223736,957.874,384947,242244,192.5
197938,264707,765.718,307834,194920,181.196
258694,257636,1028.22,305644,201553,374.426
222967,269772,846.346,403745,255102,160.663
264336,227373,1190.49,255047,179690,67.5454
380193,240490,1618.86,251443,195750,319.654
293707,302536,994.143,270416,174716,336.97
466777,357216,1338.07,485558,280420,180.503
446268,301594,1515.22,396511,230426,436.957
356558,291617,1252.04,219004,138154,124.345
475531,357509,1362.06,321805,207114,438.282
251566,231353,1113.47,316237,195189,486.974
238053,312872,779.141,248129,130966,344.685
174594,198989,898.488,224516,136804,259.31
200684,226058,909.064,226318,153107,220.253
281187,248693,1157.82,239532,166106,31.8933
213579,270736,807.814,255211,153542,232.201
315434,236450,1366.07,463223,289059,586.864
366687,342472,1096.4,291076,182080,231.609
189193,154717,1252.22,353859,201993,-13.1113
239085,242438,1009.86,370174,225530,149.751
218244,262148,852.514,342993,199913,-1.02944
198038,215701,940.17,298743,162522,48.7017
294613,306311,984.916,416419,260365,-45.9119
311515,262060,1217.26,218920,149410,232.245
210134,267146,805.471,373132,227036,6.23693
491988,298300,1688.91,369207,201934,154.165
288141,293525,1005.23,355806,246296,195.909
339753,259754,1339.38,285521,177415,-54.5448
170728,236904,737.957,251510,168985,200.686
254705,238685,1092.75,216182,132539,61.2705
414894,316031,1344.36,381841,227951,242.217
332785,273463,1246.16,291319,169305,390.725
