"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
279276,293259,975.182,343644,203980,646.5,1288.1,147.1,1087.9,1903.4,1362.9,4205.9,2421.9,1086.2,734.4,4333.7,3079.7,933.9,576.6,850,652.3,423,379,1294.2,978.7,3113.4,2030.3,3523.2,1985.9,952.3,763.8,0.388017
143534,223420,657.871,221200,146177,-196.1,968.2,107.2,957.2,1612.7,1286,2992,2112.7,854.3,480.9,2870.1,2233.1,64.6,259.2,767.2,457.2,520.7,433.1,573.8,890.1,1888.7,1536.4,1985.5,1578.9,610.3,540.7,0.388157
326176,237746,1404.89,279397,153495,1096,891.6,283.4,657,5353.4,3269.9,10881.6,6459,2232.1,1355.7,5337.1,3399.2,590.5,471.2,766.5,416.2,339.9,441.9,3813,2664.1,7257.6,4585,4361.7,2691.9,816.1,554.2,0.388557
178889,278645,657.414,273973,169207,-111.3,970,73.1,997,710.5,678.1,1917.5,1201.6,343.2,346.7,3226.5,2516.1,622,491.4,654.7,465.7,425.6,410.8,655.9,662.6,2220.8,1797.2,2712,2102.8,512.3,462,0.388577
188961,300490,643.938,360649,228593,466.6,803.2,-197.4,561,525.3,650.4,2071.5,1316.6,275,428.6,3751.8,2404.1,445.6,446.9,316.8,451.9,375.4,332.6,464.5,765.5,3275.2,2077,4600.7,3150,1177.8,722.8,0.389996
358259,299575,1224.62,390066,247117,840.9,1240.6,156.4,1384.7,1437.4,974.3,3365.9,1895.5,609.6,509.8,5116,3486.9,442.6,684.4,706.9,545.2,670.6,585.7,1219.7,922.3,5159.8,3330.8,5380.1,3559.1,952,562.6,0.392496
254816,273120,955.372,345142,210760,692.4,1251.6,314.6,1552.8,2823.5,1732,5132,3587.5,903.3,855.5,5190.9,3616.9,837,744.9,792.9,452.7,1107.8,552.6,2160.1,1636,5680.8,3908.5,4840.1,3111.5,1297.6,757.3,0.393855
233071,301524,791.539,336222,194170,555.4,1144,756.7,1220.6,3456.3,1945,7690.2,4224.4,1345.7,874.4,6051.8,3759,674.9,576.6,689.8,780.7,141.1,339.4,2304.5,1652.2,6261.3,3752.2,6272.1,3716.2,1467.7,1135.9,0.397814
415932,292027,1458.49,299396,172074,591.5,1437.1,-263.2,1094.5,5346.1,3201.4,10117.9,6095.3,2150.6,1369,4578.4,3586.4,342.3,386.3,798.9,518,328.7,395.7,2926.7,2008.3,6092.3,4142.2,4000.5,2723.9,762.4,555,0.402832
386265,303755,1302.16,285860,182860,968.5,1224.1,114.1,1079.9,6153.4,3858.9,11687.9,7021.9,2280.2,1486.4,7102.2,4871.7,776.9,544.6,793.5,508.3,609,603,3863.7,2482.7,8200.9,5214.3,5707.2,3385.9,1133.8,1003.8,0.402992
375578,280396,1371.62,265070,163369,890.9,992.2,268.2,909.2,8363.7,5222,16428.5,9848.7,3291.8,2048.9,7021.1,4601.1,723.1,627.2,831.7,721.2,468.7,489.1,5577.8,3426.1,9747.7,6264.4,5052,3410.9,1587.3,1228.7,0.403452
366686,276562,1357.7,213249,146743,552.5,1083.6,410.9,1193,4260.9,2629.9,8783.6,5963,1870.1,1499.7,5626.6,3903.2,424.5,487.2,843.5,736.2,372.4,425.9,2354.5,1936.1,6082.1,4217,4558.2,3179.9,1145.6,890.2,0.403592
