"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
232043,248240,957.183,320668,197037,273.4,1195.3,-298.6,977.9,271.2,516,682.9,517.3,31.8,192.6,2882.5,1794.8,382.3,371.8,399.2,487.1,658.2,504.4,1125.2,999.8,3302.2,2078.3,2826.8,1802,955.9,614.7,0.21542
301466,224463,1375.33,178897,115564,414.2,895.6,-217.3,950.1,268.3,412.4,681.6,559.2,272.3,341,1332.3,1229.9,506.9,647.8,580.2,370.3,459.3,340.2,4553.2,3073.7,6672.3,4594.8,2805.1,2071.8,610.5,498.4,0.216768
404503,264380,1566.75,281094,168357,295.9,1537.1,398.2,784.5,65.9,357.5,213.7,482.9,132.1,343.3,2841.9,1822,298,550.7,665.2,515.6,1034.5,564.3,1995,1439.1,4412.1,3004.2,2750.8,2066.6,464.9,487.7,0.235065
334870,211665,1620.05,287542,194290,1101.8,1424.9,427.6,1106.1,252.9,537.5,1400.1,913,357.8,328.4,4177.1,3168.3,146.4,566.9,288.3,301.2,712,597.9,2738.6,1726,6466.2,4010.2,4482.3,3243.1,1066.2,814.6,0.239585
232478,245986,967.774,300821,193848,123,751.2,185.8,1122.7,209.2,353.6,736.8,584.8,148.5,377.1,2872.7,1980.3,317.9,438,314.3,508.6,511.5,324.1,1055.2,1047.2,3144.6,2219.3,3143.4,1984.4,453,413.1,0.241171
387700,290640,1366,394366,220603,658.5,894.6,142.3,891.9,444,454.9,691.8,653.6,168.2,347.6,4294.9,2815.1,561.5,610.1,486.2,421.6,418,475.2,3512.2,2280,8117.3,4579.9,5142.1,2861.3,1326.3,1002,0.243213
362696,280508,1324.05,339102,219019,1581.6,1836.2,-207.2,1016.5,1762.5,1501.2,7823.9,6631.8,3159.3,2827.6,26846,24607.3,1668.9,1731.1,1484.5,1565.7,2042.9,1659.6,6759.8,4686,14157.7,10097.3,13436.8,11276.3,3911.9,3662.2,0.492749
185876,252697,753.223,333641,206931,833.3,901.7,-119.9,1438.7,476.9,383.7,1186.5,696.8,250.6,348.9,3103.6,1935.6,456.4,334.5,393.2,450,270.2,394.4,1470,912.8,3814.8,2218.1,3252,2156.5,612.3,653.6,0.495822
293144,248334,1208.8,264092,169309,380.8,1142.9,-48.4,724,203.4,354.6,673,660.5,166.7,247.7,2391.5,1900.8,676.2,552.4,229,329,212.5,325.5,741.3,914.2,3621.9,2419.2,3471.9,2193.6,841,589.4,0.501848
183390,266404,704.919,282326,186965,516.9,1033.1,-364.8,888.5,330.4,365.5,535.7,530.9,305.1,391.3,2501.9,1742,275,462.7,758.7,483.6,409,468.3,5791,3799.1,9016.1,5820.2,4703.3,2754.6,894.4,719.7,0.501927
