"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","mCherry-A"
355562,263570,1381.41,303665,174851,17369.4
417631,283250,1509.82,279824,171000,3552.92
242139,265873,932.593,240760,156857,3255.09
318581,241876,1348.76,299127,196749,14560.1
339073,217962,1593,500087,186014,3929.21
252389,259126,997.396,362966,233702,5027.09
361363,261038,1417.59,319741,178381,404.626
387114,347944,1139.28,514451,277752,7513.99
183669,192983,974.611,287392,194266,1164.17
247575,238291,1063.91,311365,183547,4303.15
227698,206044,1131.64,246758,140661,4171.94
212208,222769,975.459,347946,211478,1572.23
176262,245382,735.572,248258,145944,3187.31
242564,238449,1041.68,227131,153356,2226.33
192467,158990,1239.65,228897,154455,215.225
211637,187918,1153.28,197389,125516,4335.13
225772,260317,888.129,182129,124992,2622.01
230334,253218,931.464,172804,125873,8446.95
399084,369978,1104.56,515614,271958,6421.73
274906,275268,1022.67,470396,253506,4370.29
335939,274423,1253.58,322785,203419,5484.65
403450,281238,1469.01,375526,232220,25045.2
180494,185028,998.924,224888,140727,922.1
350740,281480,1275.99,295827,178879,5302.77
354855,287900,1262.16,212478,140591,8529.23
352680,288319,1252.61,343945,219709,7698.25
260092,255826,1041.08,323232,200096,4572.74
167202,204484,837.316,256859,156689,1524.83
231969,258416,919.226,269518,169972,6294.52
323932,256796,1291.73,212279,152582,2626.74
241888,224538,1103.13,335586,174115,2604.68
401244,317236,1295.18,310992,220981,3485.82
271583,252538,1101.23,236042,160193,8976.21
165906,189218,897.851,246994,156936,8972.65
329021,327192,1029.72,544703,330933,26301.1
235719,220458,1094.89,227185,151379,4507.48
264811,301142,900.475,376553,234918,9299.07
212790,215673,1010.32,169699,115947,1818.8
378419,292514,1324.74,433432,254648,10554.8
204516,201933,1037.12,193854,144575,3210.27
336872,289562,1191.31,270430,187375,1315.27
206734,290636,728.397,273488,199614,39.1626
286967,291370,1008.53,357148,245395,614.492
324053,274815,1207.5,439067,245711,1921.78
325190,258626,1287.56,345395,212905,2814.96
327006,277480,1206.77,306846,208333,11142.3
396955,267346,1520.44,303759,191158,5336.66
164679,229777,733.892,244698,157099,3859.86
345233,260102,1359.19,248467,171789,7142.53
225073,263823,873.619,262083,173266,2080.01
260328,239641,1112.4,222996,182360,11664.5
291332,214142,1393.15,392124,248310,1005.2
412255,267280,1579.47,342754,207652,3621.85
197282,263154,767.681,282192,191663,4328.25
308752,264589,1194.94,257626,183184,5418.12
265567,237834,1143.41,275065,181721,2592.89
209421,232458,922.526,268046,177700,6672.82
283930,261248,1112.94,265585,164351,8807.3
278650,233699,1220.98,163840,118369,2485.22
214597,216203,1016.4,257787,172743,2808.64
179190,213960,857.593,211040,139301,2172.14
299785,227508,1349.34,222065,138117,6110.02
219018,234667,955.724,245462,167800,5516
290811,265127,1123.23,297299,185522,2620
286598,202837,1446.89,174846,132795,6661.63
282574,264895,1092.37,289828,191793,4699.5
229554,244323,962.115,357035,222276,2820.43
218522,226463,988.119,178099,114097,3819.18
227369,348425,668.224,318130,202284,3245.46
190161,160844,1210.67,339248,186734,1548.75
337310,290856,1187.55,333262,205441,9672.77
495188,329141,1540.62,470055,268167,5896.22
217315,181538,1225.82,260902,131823,259.389
397290,256168,1588.12,279194,180225,6634.29
193754,150666,1316.86,319266,197291,4066.97
334933,268820,1275.86,333979,205917,15088.6
321333,197984,1662.04,246843,166148,6070.76
256066,277166,946.064,453358,254506,8931.45
253288,244464,1060.96,401829,290021,2272.09
360389,250352,1474.08,212438,152520,5115.89
345607,243798,1451.65,221047,147286,2073.74
469798,275637,1745.34,483623,287354,9832.47
341645,275250,1271.01,262166,224823,1266.99
229782,225119,1045.24,235661,157997,871.752
175245,155735,1152.33,234222,194461,499.831
213218,227554,959.494,403768,255659,3609.17
212076,219351,990.07,277266,181191,2886.2
296141,170748,1776.04,206570,135245,5793.78
363805,284358,1310.12,424348,257674,7767.72
284838,275306,1059.46,277022,171555,2657.96
462610,269627,1756.94,461667,258027,3783.67
277779,246854,1152.31,312818,200686,8802.18
172803,190892,926.979,204109,139864,1094.77
183770,245792,765.604,301027,184244,4953.8
324437,261043,1272.69,381897,216419,2730.06
172249,204850,861.041,213024,139201,2547.93
314327,282726,1138.48,229596,162048,4864.83
309911,225594,1406.74,229068,153436,3616.4
209258,198938,1077.13,203310,139502,2699.8
357250,256644,1425.44,285301,205530,2633.79
346784,248381,1429.71,298069,207567,3158.6
430819,283607,1555.56,255812,163859,3163.83
278935,208360,1370.85,497181,260152,2360.73
323695,255767,1295.99,336744,208635,30590
422719,290934,1487.87,514582,349876,8741.24
326856,229198,1460.35,212808,144040,7802.76
275749,233664,1208.47,256938,173607,3098.33
318194,242307,1344.72,286606,187209,2381.16
302345,279762,1106.67,396717,242198,21974.9
315920,226104,1430.76,313300,212301,12487.2
249481,240578,1061.9,279201,186104,6213.1
314281,231732,1388.8,219512,139933,6149.45
325178,295799,1125.73,517130,231290,11879.4
194075,248436,799.946,356950,224426,3450.94
398514,267407,1526.1,308723,212249,7004.81
200430,171734,1195.14,299659,232559,361.967
203830,199448,1046.49,294113,195174,1160.53
240042,284523,863.92,361487,232532,2905.92
356137,273423,1333.81,475044,265453,6539.28
332482,223456,1523.67,231307,159532,11390.1
216288,215180,1029.29,235418,143622,2085.78
311073,288658,1103.52,329717,203731,5342.53
212493,261325,832.664,290269,197335,4287.72
193766,218439,908.362,195114,145565,4077.85
185075,196563,964.168,277480,181162,3131.47
232346,258777,919.414,421320,284083,7026.72
307385,278926,1128.5,388844,227805,8035.6
448450,299099,1535.33,465162,269715,8991.68
323987,267305,1241.14,239364,166256,1772.18
384406,298617,1318.19,272000,168678,7445.31
252945,202975,1276.14,333653,208131,1783.89
373640,256762,1490.14,243168,154545,4686.57
196464,208215,966.244,262420,158307,3573.67
180142,201259,916.566,314420,215663,3753.94
360045,243526,1513.99,256795,180835,1301.21
199181,224605,908.105,248859,168383,6255.27
242384,234296,1059.39,287075,187415,9852.61
244074,259358,963.676,412108,263418,7116.16
329722,232982,1449.22,230958,171626,13971.1
317818,250143,1301.07,338517,217516,5915.2
167944,239636,717.659,193621,135824,1688.64
414054,268992,1576.27,326886,195962,15675.9
209923,190935,1125.87,198386,147266,3126.55
349384,295841,1209.33,481347,303071,18461.1
412612,237508,1778.98,352556,146501,10657.7
290814,238946,1246.29,226638,159380,3028.95
395461,257226,1574.32,249692,169623,2214.24
207108,235036,902.339,357274,223465,1239.99
289460,241994,1224.86,308086,183721,4243.24
