"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
350381,296811,1208.83,300385,165276,764.7,1288.1,-155.7,681.4,359.1,479.7,996,627.4,634.5,428.8,3194.1,2328.6,585.3,621.5,451.2,512.6,439,481.3,603.8,689.2,3681.6,2214,4382.7,2440.6,982.7,763.3,0.10948
148710,221512,687.448,266441,173529,177.3,1207.4,116,1202.9,207.7,406.2,525.2,717.1,296.7,340.7,3002.9,2027.1,443.3,433.3,467.6,440.1,141,364.2,280.1,638.1,2292.4,1622.2,3400.3,2607.3,726.2,647.5,0.110154
304336,246022,1266.75,201310,132156,-71.8,1130.1,-236.8,1995.7,27.9,331.2,670.4,442,130.4,518.7,2315.8,1751.8,381.2,370,531.2,494.9,343.5,586.2,486.6,771.3,2401.9,1698.9,2728.7,1926.6,792.5,616.9,0.111444
324901,285534,1165.2,288132,171907,253.6,703.7,244.6,985.3,208,537.9,1144.7,937,230.3,253.6,3992.7,2763.1,544.7,728.5,599.4,631.5,506.3,624.1,496.9,525.5,3635.5,2272.7,4396.4,3187.3,801.1,580.3,0.111801
276073,273642,1033.1,299106,165418,438.9,973.5,10.9,715.5,130.6,308.4,1091.7,923.4,530.3,406,5572,3473,476.2,382.5,890.1,509.7,492.4,493.9,548.6,570.1,3814.7,2410.3,4437.6,2887.8,1414.6,1043,0.112217
372525,276347,1380.4,241979,156623,36.2,1021.1,-52.4,1244.1,330.6,468.5,887.4,716.6,153.3,227.7,2380.3,1884.4,641.2,586.9,688.6,513.9,314.2,422.5,603.3,492.9,2475.8,1790.5,3553.9,2424.1,974.1,803.4,0.113169
397257,281304,1446.13,322653,188203,356.2,1010.6,9.2,1057.7,73,356.7,1158.8,924.3,299.4,448.7,3476.3,2537.2,211.4,565.8,739.5,565.7,1170.7,716.9,271.8,603,2624.3,2335.1,4189.4,3227.3,1371.6,816.3,0.113308
331018,277629,1220.94,264138,161704,206.2,877.7,152.7,714.6,217.9,447.2,981.2,883.5,508,482.6,3272.4,2100.4,-68.1,274.5,428.5,513.4,294.8,317.5,730.4,674.2,2760.9,2027.9,3561.3,2523.2,988.1,885,0.115053
139204,207843,685.837,271656,154490,506.9,1053.8,-43.7,1627,-183.7,293.3,700.1,481.9,98.2,267.4,2172.5,1576.6,360.5,391.6,432,413.2,711.6,659,316.7,377.3,1688.5,959.5,1926.7,1342.4,467.8,308.3,0.115767
413174,283684,1491.43,333929,178368,403,802.5,229.1,807.3,713.3,511.9,1893.3,1430,665.3,504.4,7320.2,5255,435,718.7,1120,811.6,821.1,617.6,1068.7,1015.9,4831.1,3325.4,6433,4377,1519,1207.6,0.115866
312494,263408,1214.82,292350,184730,553.1,1037.1,-149.2,1648.5,233.2,468.9,586.1,614,272.5,564.8,2053.9,1903,576,538.8,415.1,338.4,809.5,606.5,414.4,525.8,1903.9,1526.3,2662,1972.9,447.9,585.7,0.116283
356533,260713,1400.35,276034,166209,165.4,885.8,-315.7,817.9,182.6,384,483.1,466.5,-204.7,331.2,3746.8,2588.6,1230.5,552.7,854.4,879.7,734.2,479.8,729,657.7,3039.1,2125.6,3617.8,2419.4,696.4,654.6,0.11662
