"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","mCherry-A"
258991,249127,1064.57,228633,159122,738.944
276899,228592,1240.39,320524,189399,1567.69
163584,193042,867.75,219482,156255,949.544
185885,225473,844.21,171225,121742,997.042
227908,268989,867.623,418755,272944,1247.32
352250,275334,1310.09,205251,141075,907.459
271373,278665,997.206,326913,205789,2672.03
206759,241508,876.676,221196,148640,369.394
162173,200872,826.716,227325,163045,520.139
319859,282551,1159.24,285644,188399,940.177
173964,179050,994.918,247588,169268,-109.663
252840,208131,1243.98,471851,286247,424.542
270603,311728,888.927,284312,197227,1747.41
366069,254562,1472.56,419293,211730,1749.43
368443,313753,1202.49,384014,247261,884.214
225171,229320,1005.51,312263,215371,493.682
319879,254266,1288.25,215794,132390,2148.35
417117,277336,1540.11,299579,196544,878.998
476723,304582,1602.77,401692,299190,1121.2
205248,159423,1318.4,344048,286055,88.7117
179834,191126,963.531,201338,119079,292.857
266673,207674,1314.92,231813,153681,1304.12
327702,287064,1168.96,409122,242911,752.678
231181,235039,1007.22,210456,151039,1322.88
168245,222720,773.538,281940,180205,299.608
375242,279933,1372.67,339871,211818,761.473
175369,158212,1135.07,194951,128064,1286.67
209598,234329,915.929,244412,153151,574.909
260993,264046,1012.18,280476,165216,1547.77
205967,244707,861.895,224895,159326,1009.25
181011,262582,705.911,250055,174516,858.306
184403,190216,992.707,309561,214512,993.686
201905,222419,929.563,221939,152439,840.511
179009,195160,939.289,271453,167115,442.419
414781,319521,1329.29,369604,215101,764.135
195402,203106,985.166,295787,163185,779.707
418377,275520,1554.94,391302,225823,2392.61
272362,233301,1195.47,184873,125595,432.09
210022,232496,925.014,305766,204855,712.67
327396,190882,1756.36,272262,178583,1438.54
410248,233047,1802.67,402950,259879,1395.27
258133,217812,1213.58,205532,133208,2033.27
236913,276986,875.855,446826,259401,1077.89
317884,263240,1236.56,264876,161193,1553.16
183077,233027,804.513,321954,194603,1784.57
265734,217745,1249.69,390099,228971,671.051
357029,287431,1271.98,354193,213539,1203.39
318513,296445,1100.25,277130,136677,748.683
274524,268683,1046.27,271399,169678,2420.03
237757,227067,1072.22,254835,172071,3002.57
408748,330090,1268.02,592485,322283,2851.2
282382,240144,1204.15,189182,123640,636.643
305586,215638,1451.17,190556,127097,914.446
220010,240130,938.205,344222,223826,572.068
241710,183599,1348.15,167355,116373,227.065
307141,236092,1332.18,261700,160638,622.691
357722,303268,1207.88,246318,149592,546.083
283486,206621,1404.97,214271,143635,380.739
235664,287071,840.649,222276,133335,993.978
357328,303262,1206.58,337630,220701,416.188
281114,192024,1499.15,388219,247496,1321.74
426345,280581,1556,268181,191147,168.288
373733,224511,1704.66,208931,132384,2538.29
436486,280458,1593.69,220233,131145,1254.86
249958,204777,1249.94,220611,153172,908.256
169312,230770,751.298,187347,128720,413.21
254804,209100,1247.84,415946,262877,405.314
171685,182611,962.745,197085,139410,23.5688
169721,116680,1489.5,212812,105514,-111.997
259610,223477,1189.59,335286,202495,534.464
184157,174208,1082.48,173051,125713,135.145
258934,218914,1211.21,166494,119794,627.703
347103,286840,1239.17,328468,198193,1001.21
206897,258567,819.394,332072,192890,523.148
218212,179861,1242.38,220685,133819,1868
289657,222538,1332.86,277208,176463,547.62
342105,244335,1433.79,252404,169969,2007.83
288151,237039,1244.84,241593,177719,489.354
306148,246721,1270.65,211637,135693,127.684
189676,167529,1159.37,324090,218885,359.624
401128,287145,1430.48,355976,260014,971.576
212077,257807,842.383,313155,185425,1413.25
283198,264661,1095.74,277055,192672,584.409
339179,283476,1225.23,273204,193248,912.384
317325,203235,1598.86,181633,115156,2623.06
280595,207736,1383.14,362059,236817,1905.7
305641,258084,1212.71,401832,255456,1720.49
316204,239159,1353.92,301009,183820,1844.3
184154,189202,996.687,180046,129027,942.383
370881,275001,1381.03,324158,190655,705.394
254140,176831,1471.74,430507,313858,1504.26
372832,264016,1446.09,334627,198893,1062.59
271175,203223,1366.44,463225,256385,1367.25
217297,236194,942.082,192789,138939,70.4002
531930,311347,1749.5,441564,268490,1502.2
401923,247289,1664.33,215518,151326,766.857
447003,302533,1513.02,496987,307830,3386.54
320014,279302,1173.29,296756,193583,983.687
278322,253686,1123.47,271144,166919,438.579
197135,178040,1133.88,266858,188637,79.2093
200235,273255,750.381,220703,160337,1138.69
190322,108874,1790.08,257320,151211,1358.9
245706,220481,1141.16,373490,209358,439.86
316200,359045,901.818,451749,298158,1099.76
208645,225582,947.14,252174,163591,824.086
289878,308683,961.625,380356,236325,450.444
240402,260321,945.646,285754,184540,1806.91
395996,235152,1724.41,337205,216790,626.135
348759,224386,1591.6,199963,130674,1407.87
276760,255060,1111.14,278127,192295,252.039
252475,259667,995.646,288899,204284,780.305
360774,274050,1348.06,247870,157116,1048.79
436179,256701,1739.98,533986,371744,659.27
348438,263357,1354.84,354578,215697,543.161
235010,279694,860.422,374750,231956,1447.37
335919,285924,1203.06,244854,149887,608.51
259290,247896,1071.07,331417,220163,4360.55
312925,267115,1199.62,233431,164114,594.402
229688,238761,985.09,188310,136746,1019.9
386770,322705,1227.29,341896,220072,2162.6
314453,250628,1284.79,222601,147917,1271.5
187502,232701,825.115,206141,143032,91.7691
