"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
397723,280265,1453.16,391845,168897,848.2,1546.5,105.3,836.7,6146.1,3488,12058.8,6794,2152.1,1323.6,4920.3,2640,603.7,555.8,661.5,462.9,661.4,514.8,482.5,711.3,2712.7,1708.8,3064.2,1919,794.4,797.7,0.441988
220651,223058,1012.95,357289,213077,104.6,1164.4,425,1351.1,11178.8,6627,23487.2,13026.4,3888.5,2448.2,7652.9,4965,668.2,763.8,399.4,454.9,99.9,363.2,386.7,574.3,2311.9,1919.3,4112.1,2747.1,1186.3,822.8,0.442088
98853.2,195924,516.665,237143,145676,202.3,716.3,479.5,991.5,5239.1,3374.8,9328.4,5685.6,1911.8,1442.4,4332.1,3058.2,661.1,567.1,681.6,587.3,788.7,653.6,223.6,360.2,1271.9,991.9,1850.4,1516.9,305.1,330.1,0.442327
177435,222809,815.466,373086,225332,178.3,1031.9,71,1078.5,3184.2,1787.6,6355.6,3487.2,1156.9,756.8,4340.5,3032.3,1097.2,626.9,783.1,570.5,610,609.7,809.6,623.8,2563,1527.4,3522.9,2258.9,739.1,894.5,0.444203
381197,269882,1446.37,365223,238917,2347.9,2134.1,1899.7,1867.3,52355.2,31576,98401.5,58287.8,19111.2,11534.2,20251.9,12987.6,1329.9,879.5,1276.2,613.9,1642.1,904.4,873.4,651.7,3596.5,2782.5,6479.5,4297.2,1646.3,1040.9,0.444582
201186,268896,766.149,433544,250881,1077.7,1250.5,378.5,976.2,12326.5,7409.1,23821.6,13424.9,5377.6,3163.2,11056.3,6681.2,825.8,875.3,954.2,766.1,742.9,461.1,405.2,524.7,2647.5,1554,3950.1,2525.3,1290.4,852.9,0.445919
380609,292761,1331.27,351437,171034,602.7,1055.1,621.5,849.6,20059.5,11380.8,39532.6,22877.4,7973.9,4521.8,8881,5466.2,739.5,553.9,416.5,505.1,137.2,369.2,811,519.4,3556.8,2106.2,4996.5,3239.4,1253.5,834.8,0.447635
265335,280619,968.236,364489,223850,1716.5,1504.7,926.4,1667.4,18685,11646.7,34490.5,20710.3,6184.2,3973,15472.1,9534.7,1204.6,892.7,867.8,756.7,466.7,457.7,898.8,631.1,3131.7,2170.3,5017.4,3331.9,1375.6,874.9,0.450488
304913,246311,1267.66,216760,124669,585.4,1005.7,221.5,727.3,7758.6,5293.7,14540.9,9493.3,2855.8,1942.2,3583.1,2438.2,637.3,439.5,671.7,360,318.6,330,327.2,508.5,1348.1,1099,2196,1519.6,645.4,494.3,0.453003
268677,295416,931.338,309825,171961,1598,1741.6,774.7,1060.8,21192.8,11770.8,39265.5,21679.6,8067.6,4656.6,15642.5,9479.6,795.7,751.7,862.7,839.3,873.5,802,965.8,805.8,6171.9,3560.5,7788.4,4734.8,1861.7,1150.3,0.456075
186690,257040,743.739,367851,227186,1663,1682,1175.8,1617.7,28190.6,16599.5,51278.1,30111.6,10276.9,6284.6,18730.5,11524.7,1187.7,796.1,716.2,521.7,875.1,650.7,490.5,639.9,3567.4,2184.3,6017.1,3709.4,1429.4,857.2,0.457432
206267,278738,757.767,324622,217674,-35.1,1080.8,524,857.3,4543,2670.8,8728.4,5366.4,1711.1,1212.7,2161.5,1797.9,377.9,329.2,314.5,472.6,-145,272,234.8,596.1,922.5,932.7,1936.6,1264.9,435.8,575.6,0.45839
275452,231186,1220.08,330250,227807,3960.7,2887.5,2247.6,2239.7,48747.7,31066.7,88297,55912.6,17580.8,11105.8,36215.8,25294.5,842.3,1014.2,1222.7,741.9,1060.4,736.1,699.2,616.1,4661,3136.1,8266.7,5253.4,1654.4,1539.4,0.470023
321733,239084,1378.01,307771,212705,62.1,1263.3,393.7,1342.7,552.1,524.3,1449.8,1139.4,404.9,415.6,2518.6,2085,624.7,481.8,326.5,456,441.8,549.5,444.3,518.1,1577.4,1417.5,2287.2,2177.1,715.8,810.8,0.481676
201254,228673,901.219,201638,125116,481.5,1016.3,308.7,1505.5,6518.1,4303,12738.4,8072.7,2971.9,2231.1,8292.4,5686.4,548.3,572.6,598.7,616.1,421.1,459.6,591.9,523.4,3253.3,2072.1,4959.2,3341.3,1263.5,826.4,0.491293
