"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","mCherry-A"
202952,234184,887.46,184976,124796,1277.87
334928,284635,1204.94,280867,162286,3498.43
240705,326495,754.948,310958,188318,2379.4
187727,264120,727.841,325535,198764,2602.23
387516,285826,1388.32,295746,160577,2075.77
294698,271754,1110.46,211352,140228,3868.94
171983,146700,1200.51,251387,120173,678.401
183498,201156,934.124,191830,117251,1776.6
349127,313535,1140.27,380463,204910,4654.26
336341,271440,1268.84,220762,133183,2562.4
262456,204468,1314.43,299442,163088,6057.87
185157,224053,846.248,208660,100108,121.138
199767,266180,768.517,295184,155553,1492.35
344149,256211,1375.47,201463,142002,2711.05
168832,218290,791.997,256579,159063,1477.58
286784,279823,1049.5,206722,132608,6447.98
249571,194506,1313.91,464914,287350,-43.6776
219351,236258,950.725,171542,107006,731.081
451570,298389,1549.7,292654,163812,3754.46
177324,234593,774.019,196504,123496,703.391
187851,219292,877.198,255123,151925,2390.58
345996,282121,1255.85,249583,158237,1733.87
246651,230943,1093.68,451619,317984,81.4942
253767,292427,888.631,258183,164619,2087.14
222765,264696,861.784,179725,114455,562.683
355948,271433,1342.84,266746,173499,1044.65
322291,230493,1431.86,475473,285138,429.822
203664,117638,1772.92,299582,189843,122.103
338627,281158,1233.33,417959,367941,516.73
202409,171827,1206.27,285626,235502,284.97
284668,236592,1232.12,263597,242462,-124.018
227790,171102,1363.3,416040,334837,270.481
257429,157447,1674.33,410215,317301,-96.6947
197196,183219,1102.13,269069,190833,-100.619
276533,219888,1287.79,217071,184762,59.006
173427,149850,1185.13,219252,185646,399.837
223780,190873,1200.55,194450,156754,330.648
428248,305280,1436.47,593299,430210,77.7846
313577,202837,1583.1,419140,289911,671.335
274731,187432,1501,482133,316662,322.885
170286,123548,1411.42,214395,147905,243.062
348375,274470,1299.75,490157,349802,618.161
363135,265299,1401.64,533135,433804,494.056
256515,193443,1357.89,306210,239910,-21.5819
197578,130814,1546.69,221027,135271,141.176
179535,174568,1053.13,241327,203234,177.231
483718,295035,1678.89,328492,182113,3947.26
327303,254252,1318.23,204730,135671,3785.7
196227,141810,1416.95,296676,163302,94.7141
249721,197087,1297.52,291469,158228,573.433
455058,292807,1591.46,330270,186533,2949.58
313817,180203,1783.29,297117,97953.2,1057.38
249087,205435,1241.6,247018,152510,1421.49
357584,252900,1447.89,544846,290991,5585.23
289971,224368,1323.41,195683,127114,1158.48
372009,321396,1185.27,296084,185335,5501.04
402917,306449,1346.35,449834,255266,10345.2
446432,341759,1337.66,450360,289740,4346.75
230626,308854,764.65,403072,236721,1542.98
210374,185039,1164.24,224170,118469,131.093
263867,264560,1021.32,234935,142890,5678.56
336479,277855,1240.08,212490,145205,1569.85
