"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","mCherry-A"
205761,174454,1207.8,315942,224240,29409.2
264685,188256,1439.73,192598,135934,2505.3
302500,266428,1162.66,354854,264172,3675.19
298804,212617,1439.1,281564,188639,3947.38
208646,187663,1138.54,291533,174834,18970.6
254809,310346,840.755,334440,243306,10717.5
283613,260184,1116.21,500799,327354,7078.26
430052,299233,1471.68,454258,314624,12264.3
252879,259287,998.718,443738,285465,4733.66
267860,196859,1393.35,307611,206682,8355.36
415827,268717,1584.62,482506,302819,16617.8
369808,307647,1230.93,476568,308871,4859.82
268712,223653,1230.33,315819,219275,16159
270416,266672,1038.41,415097,268520,5509.44
223997,255926,896.266,352666,243388,4164.61
306123,236718,1324.27,239612,171600,8787.54
216163,227036,974.974,258562,174707,2919.66
286490,235529,1245.57,376256,231103,13461.6
266569,270102,1010.62,441178,300845,2636.64
370678,252231,1504.91,312815,200058,5050.18
416088,296696,1436.1,540433,317153,2802.69
266963,227313,1202.62,241025,165512,3197.03
369111,268985,1405.18,592276,331159,14801.6
331029,308754,1097.88,409755,268442,3427.65
284179,242921,1197.92,351368,201600,7579.03
332644,252202,1350.62,264262,184319,1241.06
306831,255898,1227.82,358203,245085,2684.59
316627,253908,1276.96,210793,152960,4179.32
204952,223368,939.57,249694,189419,612.739
445355,309189,1474.99,301752,191683,6285.96
218364,278822,801.98,377189,244052,10819.8
282966,214754,1349.26,208361,142413,2834.78
238214,213130,1144.53,269453,167818,10449.1
266678,225690,1209.98,239982,158794,4219.9
323967,196052,1692.14,452167,221540,3902.06
229926,214232,1099.01,308963,186258,1595.77
430750,304581,1448.2,401683,232579,22381.1
187869,192332,1000.26,221388,151624,755.685
335690,249200,1379.4,326717,217070,12159
267577,216121,1267.81,401668,261408,3450.59
351646,259200,1389.22,308931,206914,6416.29
181374,174185,1066.27,316585,220472,855.072
303615,175817,1768.34,339797,213178,5140.52
352846,225085,1605.27,296371,188475,5159.8
349535,253266,1413.24,344287,216829,2344.17
182042,210240,886.653,333005,218723,4561.09
348199,307397,1159.94,526725,306019,1877.25
328910,221405,1521.24,300295,202363,3969.03
190562,186744,1044.98,326220,215696,1534.16
272926,204771,1364.84,261418,176933,4886.82
223937,176914,1296.19,162564,118469,11680.3
264453,204885,1321.75,199261,148766,9933.85
190374,165267,1179.59,168828,125826,1944.28
206763,195798,1081.38,360276,235078,4153.89
326766,268209,1247.57,357339,235304,7145.08
418728,275911,1554.08,263605,161413,4843.69
502478,326090,1577.91,555042,300974,75521.2
223734,238686,959.878,277271,175413,4084.98
181156,233368,794.894,241813,173140,3110.71
