"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","mCherry-A"
188899,168506,1147.94,269064,153972,498.832
398494,280658,1453.94,320455,197056,2765.1
197831,219950,921.046,278340,145775,170.384
275005,272377,1033.88,365432,211716,448.193
370313,268477,1412.44,224262,157355,718.286
307165,247725,1269.73,247569,142946,530.6
388701,297004,1340.17,346619,222332,645.099
299059,272530,1123.69,252234,177004,668.377
298770,269150,1136.71,267503,168392,927.731
247388,226224,1119.79,444681,212353,61.2228
452615,372560,1244.03,470494,269974,527.915
307754,292986,1075.62,230049,124577,277.75
467965,319851,1498.2,333776,204206,1276.94
362033,292761,1266.3,248365,152255,798.505
430814,350677,1258.02,488100,249456,1528.83
402113,239460,1719.58,210164,123895,637.386
188769,303209,637.513,354142,185180,414.295
467366,311133,1538.22,417980,264579,966.275
305010,320629,974.129,455499,248178,345.247
339028,282400,1229.33,407121,255313,228.804
289541,296385,1000.36,324542,176821,416.775
191211,214968,910.834,252152,159934,157.094
393139,287674,1399.42,241215,156793,384.622
365979,264387,1417.49,341312,215094,392.493
441008,311717,1448.75,364232,211544,509.087
352171,303493,1188.26,285761,168659,847.068
368635,319340,1182.08,321493,188047,748.951
268506,276156,995.646,433819,254847,242.678
318585,249421,1307.98,246378,161843,414.32
269291,271345,1016.25,290221,205698,271.872
255517,286331,913.808,379253,210415,534.653
256940,231808,1135.02,245761,162253,206.245
198136,223831,906.474,225234,154454,255.95
274016,314997,890.792,421300,228914,1664.79
416066,259201,1643.71,559005,277365,1043.43
382159,280017,1397.53,231982,153782,188.933
270392,260918,1061.2,359086,196374,1017.33
213224,329526,662.604,382426,240653,758.437
166469,194064,878.389,189713,122767,405.353
358592,247963,1480.87,192581,125719,476.704
183982,218707,861.427,234188,148445,110.388
306755,265485,1183.2,260826,159899,516.863
301141,314954,979.095,262864,166032,371.883
514623,331761,1588.42,311786,176901,325.992
354355,296149,1225.28,235018,144104,638.145
287514,311797,944.262,268305,180327,1027.01
259994,248160,1072.87,258118,173861,382.055
206520,214446,986.18,196380,128788,522.611
475314,337307,1442.97,585334,360520,884.395
185439,227183,835.865,261088,160334,547.797
218062,254796,876.379,207332,138690,3.24836
272330,249286,1118.69,257238,172338,177.154
390604,306429,1305.31,312214,175452,1985.68
261406,247564,1081.27,178518,129096,253.091
309943,259383,1223.63,309794,162011,519.614
419329,289122,1485.17,292951,203528,1061.7
286352,212488,1379.96,202608,135018,701.209
332645,246917,1379.55,299814,206128,269.235
326390,220704,1514.35,270296,170925,1042.88
177451,206523,879.861,223367,142718,146.011
