	depth	count_unique	chao1
0	0.1	227005.3	5536900.038059243
1	0.2	444673.1	5819024.841073787
2	0.3	653839.1	6082049.784062547
3	0.4	855219.4	6333074.421498229
4	0.5	1049411.5	6567536.872787358
5	0.6	1237039.3	6791049.582521302
6	0.7	1418598.1	7011862.0300351605
7	0.8	1594332.3	7217603.616821311
8	0.9	1764774.7	7414830.743071261
9	1.0	1930166.0	7607710.76084598
