name	input	uniquely_mapped	multiple_loci	too_many_loci	percent_unmapped_too_many_mismatches	percent_unmapped_too_short
L220420_1	29963299	27685662	779784	1709	0.00%	4.89%
L220420_2	30128511	28122430	753757	1678	0.00%	4.05%
L220420_3	32130108	29744539	838508	1889	0.00%	4.71%
L220420_4	30889272	29110999	764261	1526	0.00%	3.18%
L220420_5	24751627	23159223	625418	1401	0.00%	3.80%
L220420_6	36294130	34189806	910415	1876	0.00%	3.19%
L220420_7	29292015	28438778	705570	1204	0.00%	0.41%
L220420_8	28430906	27570575	699832	1080	0.00%	0.47%
